message_id,source,message_text,priority_label,action_required,split
msg_229,adapted_real_world,The IT department will be performing routine network upgrades over the weekend. Intermittent downtime is expected.,informational,False,train
msg_168,realistic_synthetic,All inbound emails are bouncing. Network team needs to restart the exchange server.,urgent,True,train
msg_126,adapted_real_world,"When you are back at your desk, please move the completed files into the shared archive folder.",routine,True,train
msg_186,realistic_synthetic,Please update your project status in the tracker before the leadership sync tomorrow morning.,important,True,train
msg_181,adapted_real_world,Please review the attached Q3 financial report by end of day Wednesday so we can finalize the deck.,important,True,train
msg_130,realistic_synthetic,Could you add the latest ticket numbers to the tracker before stand-up?,routine,True,train
msg_207,realistic_synthetic,Do not forget to submit your weekly timesheet by Friday afternoon.,routine,True,train
msg_158,adapted_real_world,"For planning purposes, send any dietary requirements for the away day by next Tuesday.",informational,True,train
msg_240,realistic_synthetic,"Just a note, the new mandatory security module is out and requires completion by Friday.",informational,True,train
msg_108,synthetic,Please send over the final spreadsheet for the budget review by close of business tomorrow.,important,True,train
msg_211,adapted_real_world,Could you send me the hex codes for the new brand colors?,routine,True,train
msg_083,adapted_real_world,Security needs confirmation of the visitor list before noon or reception will not issue passes.,urgent,True,train
msg_132,adapted_real_world,Can you share the updated contact list with reception for next week's visitors?,routine,True,train
msg_062,adapted_real_world,New expense policy changes take effect from 1 April. Key differences are outlined in the attached summary.,important,False,train
msg_053,adapted_real_world,Production deployment is blocked by a failing integration test. The release window closes in three hours and the fix needs review now.,urgent,True,train
msg_019,synthetic,Please review and approve any outstanding leave requests from your direct reports. Two requests are pending your sign-off.,routine,True,train
msg_221,synthetic,The elevators in the west wing will be out of service for maintenance between 10 AM and 2 PM.,informational,False,train
msg_182,synthetic,The vendor contract is expiring next week. Let's schedule a meeting to discuss renewal terms.,important,True,train
msg_111,synthetic,Your feedback is needed on the mockups before design starts the next round.,important,True,train
msg_078,realistic_synthetic,Office lease renewal terms have been shared. Facilities committee members please review before next week's discussion.,important,True,train
msg_040,synthetic,Employee satisfaction survey results have been published on the HR portal. Overall engagement scores are up 4% from last year.,informational,False,train
msg_142,synthetic,Slides from today's knowledge-sharing session are now in the team folder.,informational,False,train
msg_052,synthetic,Photos from last Friday's team lunch have been uploaded to the shared album. Nice turnout!,informational,False,train
msg_218,synthetic,Can you help me set up the projector in room 3 for my presentation?,routine,True,train
msg_039,realistic_synthetic,IT is requesting that everyone restart their laptops to apply the latest security patch. Please do so before end of day.,routine,True,train
msg_034,synthetic,Cross-team collaboration proposal for the new analytics platform. Your input on the integration requirements section would be helpful by Thursday.,important,True,train
msg_225,realistic_synthetic,The fire drill scheduled for today has been postponed to next week due to rain.,informational,False,train
msg_162,realistic_synthetic,Site is returning 502 errors. Need an engineer to check the load balancer configuration right now.,urgent,True,train
msg_189,realistic_synthetic,Action required: Complete your annual compliance training by the 15th to avoid network access suspension.,important,True,train
msg_018,realistic_synthetic,Performance review self-assessments are due next week. Use the updated template on the HR portal and submit to your line manager.,important,True,train
msg_069,realistic_synthetic,Budget approval is needed before the purchase order expires at 5pm today. Finance will cancel the requisition if unsigned.,urgent,True,train
msg_184,adapted_real_world,Your performance review is scheduled for Monday. Please complete the self-assessment beforehand.,important,True,train
msg_014,adapted_real_world,Team restructure proposal has been circulated. I would appreciate your candid feedback by Wednesday so we can finalise before the leadership offsite.,important,True,train
msg_172,adapted_real_world,Warehouse roof is leaking onto the server racks. Maintenance needs to respond immediately.,urgent,True,train
msg_036,realistic_synthetic,Parking garage levels B2 and B3 have reopened following resurfacing work. All spaces are available again.,informational,False,train
msg_105,synthetic,Could you look over the test results when you have a moment today and let me know if anything stands out?,important,True,train
msg_023,adapted_real_world,Catering preferences for next Wednesday's lunch meeting — please reply with any dietary requirements by Monday.,routine,True,train
msg_185,synthetic,The client has requested some changes to the UX design. Can you take a look and estimate the effort?,important,True,train
msg_048,realistic_synthetic,Updated org chart reflecting last month's changes is now available on the intranet. No action required.,informational,False,train
msg_159,realistic_synthetic,"You can ignore the earlier duplicate calendar invite, the 2 pm one is correct.",informational,False,train
msg_046,synthetic,Marketing campaign brief is ready for stakeholder review. Comments are open in the shared document until next Wednesday.,important,True,train
msg_013,synthetic,Compliance audit response materials are due by close of business today. Legal needs the signed attestation forms returned to the shared folder.,urgent,True,train
msg_147,realistic_synthetic,The new starter begins on Monday and will be sitting near the support team.,informational,False,train
msg_017,adapted_real_world,"SSL certificate for the customer portal expires at midnight tonight. If the renewal is not applied, users will see browser security warnings from tomorrow.",urgent,True,train
msg_125,synthetic,Could you reorder printer paper for the admin cupboard during your next supply check?,routine,True,train
msg_057,realistic_synthetic,API rate limiting thresholds were exceeded this morning causing intermittent service degradation. The platform team is aware and monitoring.,urgent,False,train
msg_097,synthetic,"Thanks for flagging the outage, IT is already handling it and no action is needed from your side right now.",urgent,False,train
msg_089,adapted_real_world,We have a duplicate booking for the interview room in the next hour and need you to confirm which slot stays.,urgent,True,train
msg_081,realistic_synthetic,The client has moved today's sign-off call to 3 pm and needs the revised deck before then.,urgent,True,train
msg_235,adapted_real_world,A pair of glasses was found in conference room C. They are at the front desk.,informational,False,train
msg_005,adapted_real_world,The client has moved the contract signing to this afternoon instead of next week. We need the revised pricing sheet reviewed and approved before 2pm.,urgent,True,train
msg_165,realistic_synthetic,A major client just escalated a P0 bug blocking their launch today. Please prioritize this over everything.,urgent,True,train
msg_239,synthetic,"While reading the latest policy updates, please ensure you electronically sign the acknowledgment form at the bottom.",informational,True,train
msg_075,realistic_synthetic,Please archive old project folders that are no longer active. Instructions for the archive process are on the wiki.,routine,True,train
msg_131,synthetic,Please reset the meeting room layout after the training session ends.,routine,True,train
msg_152,adapted_real_world,Building reception will issue temporary badges while the card printer is serviced.,informational,False,train
msg_203,synthetic,Please remember to clean out the office fridge by 4 PM on Friday.,routine,True,train
msg_098,adapted_real_world,"The train strike notice means several attendees may miss the morning workshop, just keeping you aware.",urgent,False,train
msg_082,synthetic,"Our payment gateway is failing on live orders, please check the logs as soon as you are online.",urgent,True,train
msg_050,adapted_real_world,Onboarding checklist for our new starter next Monday has been updated. Hiring managers please review and confirm readiness.,important,True,train
msg_194,synthetic,The staging environment will be refreshed tomorrow at 9 AM. Save any test data you need to keep.,important,True,train
msg_061,synthetic,Could you please look at this when you have a moment? The client brief needs to go out today and I want to make sure the numbers are right.,urgent,True,train
msg_228,realistic_synthetic,I have uploaded the recordings from the training sessions to the shared folder.,informational,False,train
msg_094,synthetic,Your manager asked whether you can review the final wording before it goes out to customers this afternoon.,urgent,True,train
msg_022,synthetic,Conference travel request needs to be submitted this week to qualify for the early bird rate. Approval form attached.,important,True,train
msg_079,synthetic,Updated internal phone directory has been circulated. Please check your entry and let admin know of any corrections.,routine,True,train
msg_231,realistic_synthetic,The cafeteria menu for this week has been updated and posted online.,informational,False,train
msg_015,realistic_synthetic,Office supply order going in on Thursday. Please add anything you need to the shared list before then.,routine,True,train
msg_096,realistic_synthetic,Monitoring shows disk space is nearly full on the reporting machine and scheduled jobs start in an hour.,urgent,True,train
msg_021,realistic_synthetic,Data backup job failed overnight and needs a manual restart before the business day begins. Logs attached.,urgent,True,train
msg_114,synthetic,"There is a request to extend your software licence, please approve or reject it this week.",important,True,train
msg_007,synthetic,Could you add any agenda items for the monthly team meeting? Send them over by tomorrow morning so I can circulate the final agenda.,routine,True,train
msg_006,realistic_synthetic,New project scope document is ready for sign-off. Please review the attached PDF and confirm your approval by Wednesday.,important,True,train
msg_177,realistic_synthetic,The catering company cancelled for the 500-person event starting in two hours. We need a backup plan.,urgent,True,train
msg_187,adapted_real_world,We are migrating to the new CRM next month. Please ensure all your leads are exported.,important,True,train
msg_055,synthetic,Document templates on the intranet have been updated to reflect the new brand guidelines. Old versions have been archived.,routine,False,train
msg_063,realistic_synthetic,Reminder to log your professional development hours for this quarter. The portal closes for submissions on Friday.,routine,True,train
msg_060,realistic_synthetic,Wi-Fi network name is changing next week. You will need to reconnect your devices using the credentials in the attached guide.,informational,True,train
msg_118,adapted_real_world,Your document passed the first review stage and is now with compliance.,important,False,train
msg_011,adapted_real_world,"Your desk booking for next Monday in Building C, Floor 2 has been confirmed. No further action needed.",routine,False,train
msg_174,realistic_synthetic,"VIP customer account locked. Unlock it manually from the backend, they are waiting on the phone.",urgent,True,train
msg_148,synthetic,Minutes from the policy meeting have been uploaded for anyone who wants to read them.,informational,False,train
msg_219,realistic_synthetic,The weekly sync notes have been uploaded to the wiki for your records.,routine,False,train
msg_084,realistic_synthetic,The server certificate expires this afternoon and the renewal has not completed.,urgent,True,train
msg_092,adapted_real_world,The courier is already on site for the contract pack but the signed copy is not at reception.,urgent,True,train
msg_149,adapted_real_world,We received confirmation that the insurance renewal has been processed.,informational,False,train
msg_091,synthetic,"Could you join the incident bridge now, the API errors are still climbing.",urgent,True,train
msg_166,adapted_real_world,Fire alarm in building A. Evacuate immediately using the nearest stairs.,urgent,True,train
msg_178,adapted_real_world,Your corporate credit card has suspected fraudulent charges. Call the fraud department immediately.,urgent,True,train
msg_117,synthetic,Just letting you know the leadership meeting has been moved to Thursday at 10 am.,important,False,train
msg_216,realistic_synthetic,Could you forward me the email receipt from the software subscription?,routine,True,train
msg_145,synthetic,The system update completed overnight and all services are back to normal.,informational,False,train
msg_139,realistic_synthetic,This is to let you know the standard maintenance window starts at 7 pm tonight.,routine,False,train
msg_121,realistic_synthetic,Please upload your timesheet before 5 pm on Friday.,routine,True,train
msg_163,adapted_real_world,Security breach detected on the main file server. Disconnect all affected instances and report status.,urgent,True,train
msg_175,adapted_real_world,Active shooter drill starting now. Please follow local protocols.,urgent,True,train
